PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_BOOM,PPR_BUST,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STARTER,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
CLEVELAND BROWNS,,,,,,,,,,,0.0,0.2,9.0,0.6,1.1,,,,,0.0,0.0,0.0,,,,0.0,172.9,,,,2.9,0.0,,,,,150.0,0.0,,,3.0,,153.0,30.0,10.0,18.0,,,,,0.0,0.0,8.0,DEF,4.3,1.0,5.0,1.3,2.0,7.0,,172.3,150.0,,,,,,,,,,174.0,,13.9,10.0,249.0,0.0,,,,0.0,171.0,,,,49.0,0.0,32.0,,16.3,CLE,,10.0,278.0,,,
CLYDE EDWARDS-HELAIRE,,,,,,,,,,,,,3.5,,,,,,,0.0,0.0,,1.1,0.1,12.5,,232.6,4.7,0.1,14.9,,,1.5,,,,159.0,,0.0,71.0,,2.0,53.1,3.0,,,,,,,0.0,0.0,11.0,RB,66.1,51.0,65.0,5.3,7.0,80.0,4.7,230.6,156.0,0.0,71.0,70.1,64.8,49.0,64.0,5.9,7.0,78.0,229.0,14.0,27.4,11.0,283.0,,17.0,1.0,188.0,,231.0,70.0,1.0,223.0,,,6.0,14.0,24.5,KC,22.0,11.0,287.0,,,
CODY SCHRADER,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,330.3,0.0,0.0,0.0,,,0.0,,,,274.0,,0.0,0.0,,0.0,0.0,10.0,,,,,,,0.0,0.0,5.0,RB,110.5,77.0,118.0,15.0,10.0,128.0,0.0,320.8,292.0,0.0,0.0,0.0,111.5,83.0,120.0,17.2,10.0,132.0,416.0,0.0,36.2,15.0,392.0,,0.0,0.0,0.0,,415.0,0.0,0.0,0.0,,,12.0,0.0,48.3,SF,0.0,15.0,388.0,,,
CODY THOMPSON,,,,,,,,,,,,,0.2,,,,,,,,,,0.2,0.0,1.7,,,0.0,0.0,0.0,,,0.2,,,,,,0.0,100.0,,0.0,1.0,21.0,,,,,,,,,24.0,,237.5,217.0,250.0,12.9,13.0,250.0,0.3,,,0.0,100.0,2.0,238.0,218.0,251.0,12.3,13.0,249.0,,0.0,,,,,1.0,0.0,10.0,,,0.0,0.0,0.0,,,16.0,0.0,,TB,1.0,,,,,
COLBY PARKINSON,,,,,,,,,,,,,2.2,,,,,,,0.0,0.0,,1.5,0.1,14.5,,282.8,0.0,0.0,0.0,,,2.0,,,,236.0,,0.0,88.0,,2.0,36.7,22.0,,,,,,,0.0,0.0,27.0,TE,36.8,28.0,40.0,4.0,6.0,47.0,3.6,284.6,253.0,0.0,88.0,61.7,37.2,30.0,40.0,3.9,6.0,47.0,326.0,13.0,19.3,13.0,317.0,,25.0,2.0,247.0,,324.0,0.0,0.0,0.0,,,14.0,13.0,20.7,LAR,34.0,13.0,319.0,,,
COLE FOTHERINGHAM,,,,,,,,,,,,,0.3,,,,,,,,,,0.5,0.0,3.0,,,0.0,0.0,0.0,,,0.5,,,,,,0.0,100.0,,0.0,0.6,10.0,,,,,,,,,9.0,,133.0,125.0,148.0,8.0,10.0,141.0,0.8,,,0.0,100.0,1.6,124.0,111.0,145.0,13.0,10.0,137.0,,0.0,,,,,1.0,0.0,6.0,,,0.0,0.0,0.0,,,18.0,0.0,,LV,1.0,,,,,
COLE KMET,,,,,,,,,,,,,6.4,,,,,,,0.0,0.0,,4.3,0.4,42.3,,127.5,0.2,0.0,0.1,,,5.3,,,,96.0,,13.0,44.0,,1.0,108.1,20.0,,,,,,,0.0,0.0,16.0,TE,15.4,9.0,16.0,2.6,3.0,22.0,10.7,123.9,94.0,13.0,38.0,181.1,15.1,8.0,16.0,2.6,3.0,21.0,122.0,50.0,17.1,9.0,172.0,,73.0,6.0,719.0,,127.0,3.0,0.0,2.0,,,19.0,44.0,17.8,CHI,90.0,9.0,181.0,,,
COLE TURNER,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,,0.9,0.0,10.0,,353.3,0.0,0.0,0.0,,,1.3,,,,299.0,,0.0,100.0,,4.0,12.0,16.0,,,,,,,0.0,0.0,20.0,TE,65.8,50.0,66.0,7.9,7.0,78.0,1.9,336.0,305.0,0.0,100.0,23.0,67.7,51.0,66.0,8.4,7.0,79.0,464.0,0.0,39.7,15.0,392.0,,11.0,0.0,120.0,,467.0,0.0,0.0,0.0,,,15.0,0.0,39.9,WAS,15.0,15.0,394.0,,,
COLTON DOWELL,,,,,,,,,,,,,0.0,,,,,,,,,,0.1,0.0,0.3,,,0.0,0.0,0.0,,,0.2,,,,,,0.0,100.0,,0.0,0.3,28.0,,,,,,,,,19.0,,231.0,224.0,261.0,7.0,13.0,238.0,0.1,,,0.0,100.0,1.3,226.0,220.0,257.0,6.0,13.0,232.0,,0.0,,,,,1.0,0.0,3.0,,,0.0,0.0,0.0,,,29.0,0.0,,TEN,2.0,,,,,
CONNOR HEYWARD,,,,,,,,,,,,,1.0,,,,,,,,,,1.4,0.0,9.8,,,0.1,0.0,0.0,,,2.0,,,,,,0.0,100.0,,3.0,16.7,23.0,,,,,,,,,8.0,,94.4,77.0,86.0,12.8,8.0,111.0,2.3,,,0.0,100.0,39.7,88.1,77.0,85.0,9.0,8.0,102.0,,0.0,,,,,23.0,0.0,167.0,,,1.0,0.0,0.0,,,27.0,0.0,,PIT,34.0,,,,,
